name,Description
Maroon Double Placket Crepe Shirt Dress,"This maroon shirt dress is crafted in polyester and features a mandarin collar neck, long sleeves, a concealed front buttons placket, a curved hemline and a regular fit. Style this dress with a pair of black boots and statement earrings to attain an alluring look."
Beige Solid Top,"This beige stretchable top by Cover Story is crafted in nylon and features a high neck, a sleeveless design and a regular fit. Style this top with a pair of skinny jeans and high heels to make a statement. Buy this top online."
Multi-Color Living On The Line Stripe Jumpsuit,A multi-colored striped halter neck jumpsuit with deep incut strap and a elasticated waistline. It has a tie-up at the back neck for fastening and ease.
Mustard Crew Neck Solid Cardigan,"Get snuggly in this mustard cardigan by Aeropostale cut from blended fabric to keep you at ease. It has a crew neck and long sleeves with ribbed hems. Slip into this piece, paired with jeans and sneakers to step out in style this season."
Grey Cluster Crop Top Set (Set of 2),Crop Set with embellishments
Indigo Guisley Trench Coat,Double breasted trench coat in natural indigo dyed handloom khadi denim fastened with natural coconut button and a drawstring waist that lets you adjust the fit
White Rayon Dress,"This stylish floral print kurta from janasya is made of rayon and comes in an attractive white color. It features sleeveless,keyhole neck,gown and it is long kurta that is suitable for casual occasions. Team it with matching leggings for a chic look."
White Brohden Broderie Top,"Cut from a breathable cotton broderie fabric, this white top is made for sunny days. Style yours with pastel linen culottes and heeled sandals to complete the look."
Red Ruffles Of The Night Dress,"This stunning tulip hemmed dress is created in polyester knit, it features broad shoulder straps, a wide square neckline, an overlapping waistline with ruffles on the hem for style and a concealed zipper on the back for closure. Style With: Your favourite pair of stilettos and a box clutch will have you ready for the night ahead!"
Black Paula Solid Top,"This black top by Vero Moda is crafted in polyester and features a round neck, short sleeves, lace yoke and a regular fit. Style this top with a pair of denim jeans and high heels to complete the look."
Casual White Viscose Sweatshirt,"This white striped sweatshirt from ONLY is crafted in viscose and features a round neck, long sleeves and regular fit. Buy this sweatshirt online and style it with jeans and heels to complete the look."
Multi-Color Striped Mini Dress,"This multi coloured short dress by Mish is crafted in polyester and features a boat neck, short sleeves, self fabricated belt, striped details and a regular fit. Style this dress with dangler earrings and heels to complete the look. Buy this dress online."
Green Stripped Fit & Flare Dress,"An amazing range of women Dress in soft and solid colours that looks perfect for regular wear. With beautiful designs and patterns, these apparels are very stylish and comfortable too. Get rid of the 'regular' look this season wearing this dress"
Blooming In Blue Midi Dress,Blue floral printed sheath dress. Tie up shoulder straps with a ruffled sweetheart neckline. Smocking at the back yoke and concealed centre back zipper for fastening and ease. Gathered tier at the hemline for style. Floral midi dresses are back with a refreshing vibe for the season. Your vacation wardrobe is surely in for a easy-breezy silhouette that is a mix of both comfort & style. Accessorize with: block heels a crossbody bag and minimal jewellery will have you brunch ready in no time!
Black Polka On My Mind Monochrome Playsuit,Black polka dot printed rayon playsuit. V neckline with mock buttons at front for style. Flared sleeves with slit for style. Concealed back zipper.
Black Wrap Up The Night Top,Black polyester crepe top. Wrap style top with lapel on the neckline. Button closure on the lapel. Long sleeves with gathers at the shoulder and elasticated cuff.
KAZO Dark Green Petal Shirt,"This green embroidered shirt from Kazo will be a perfect addition to your western wear collection. Featuring a collar neck and short sleeves, style this shirt with a pair of trousers and block heels to complete the look. Shirt only."
Pink Turn Up The Pleat Jumpsuit,Pink pleated velvet jumpsuit. Sleeveless with a v neckline. Waist cut with a waist band for detailing. Straight legged bottoms. Concealed centre back zipper for fastening and ease.
Torqadorn Olive Pleated Torso Jumpsuit,"Perfectly prepare for a dreamy rendezvous and in the stunning style of this green jumpsuit from Torqadorn. Crafted from satin georgette, it boasts of a pleated torso overlap with flared bottoms, a racer back and a fabric belt with rivets to complete the look. This number ushers in the evening with effortless finesse."
Navy Blue Flirty Top,Easy fit open back top with balloon sleeves and keyhole detail in front and shirring at the waist
Green Short Sleeves Solid Top,"Make a stunning style statement with this elegant green top from GAP. Crafted in cotton, style this top with a pair of girlfriend denims and high heels to complete the ensemble."
Alex Velvet Burnout Midi Wrap Dress,This slinky black midi wrap dress is cut from a sheer fabric embellished with textured metallic thread and velvet flowers. It's a glamorous choice for after-dark events and promises to go perfectly with your favourite black heels.
Maroon Printed Dress,This dress is a perfect combination of comfort and style. Pair it with heels and fine accessories to complete the look.
Coral Nupi Midi Dress,Midi dress with high neck and tie straps
Teal Solid Coat Style Wrap Jumpsuit,"Featuring a coat style wrap detail on the front, this teal jumpsuit from The Silhouette Store makes an elegant addition to your casual wardrobe. Style this jumpsuit with a pair of high heels and super-sized earrings to complete the look."
KAZO White Mickey Print With Sequin Shirt,"This white printed shirt from Kazo will be a perfect addition to your western wear collection. Featuring a collar neck and long sleeves, style this shirt with a pair of trousers and block heels to complete the look. Shirt only."
Collar Neck 3/4th Sleeves Short Top,Collar Neck 3/4 Sleeves Short Top
Olive Flatter Me Right Dress,Olive polyester crepe dress. Sheath silhouette. Half rolled up sleeves. Lapel collar with an overlapping v neckline. Button detail on the left front side. Concealed zipper on the left for fastening and ease.
Red Checks Shoulder Strap Jumpsuit,"This red and blue jumpsuit by ONLY is crafted in cotton, sleeveless and features a V neck, check patterns all over, shoulder straps and a zip closure at the back. Pair this jumpsuit with flats and fine accessories to complete the look. Buy this jumpsuit online."
Green Gables Pullover,"This green pullover by Only is crafted in viscose and features a round neck, long sleeves, dropped shoulders and a regular fit. Buy this pullover online and style it with a pair of skinny jeans and casual flats to complete the look."
Round Neck 3/4th Sleeves Long Dress,Round Neck Full Sleeves Long Dress
Grey Short Sleeves Printed Top,This elegant blue t-shirt by GAP is crafted in cotton and is a must-have in your casual collection. Style this t-shirt with a pair of boyfriend denims and your regular sneakers to complete the look.
Red Raving In Ruffles Jumpsuit,Maroon polyester knit jumpsuit. Sleeveless with a round neckline. Ruffles at the neckline and armhole for styling. Fitted body and straight leg silhouette. Center back zipper for fastening and ease.
Grey Printed Logo Classic Tee,GAP's t-shirt features a cool logo graphic at front that adds a cool flair to this style. It's made from uber-soft cotton jersey and finished with a crew neck and short sleeves. Slip yours on over cuffed shorts for a day in the sun.
Black Solid Maxi Dress,"This black maxi dress by Mish is crafted in polyester and features a V-neck, ruffled sleeves with ruffle details, embroidered belt on the front and a regular fit. Style this maxi dress with all silver earrings and clutch for a party ready look. Buy this dress online."
Torqadorn Silver Blue Formal Shirt,"When you want a work wardrobe that’s subtle, stylish, and a bit romantic, make this silver-blue shirt your business. Whether flavouring your coffee, taking that project lead or simply heading out with the girls for after-office drinks, you do so in style with Torqadorn's classic tailored shirt in iridescent silk satin that can be styled multiple ways; button down for a chic work-wear ensemble or tie-up to dazzle your evening look"
Black Dhoti Style Jumpsuit,"If You Are Looking For A Unique Pattern In Your Wardrobe And A Highly Stylised Kurta Then Divena Has The Answer For You. Presenting Divenas Unique Dhoti Style Kurta With Rising Side Slits And Tussles On Both Sides And A Closed Neckline And Three Fourth Sleeves, Is Perfect For Any Casual Day Outing Or Evening Party Wear. Pair It Up With Mojri , Metallic Jewellery For That Ravishing Look"
Cotton Linen Comfort Pleated Grey Top,Stylish designs made in the highest quality cotton linen is the summer respite you seek
Rust Collar Neck Printed Jumpsuit,"Make a bold fashion statement wearing this pair of jodhpuri jumpsuit by desi weaves. With flawless fit and finish, theis comfortable jumpsuit will make your casual everyday look trendy and stylish."
Off White Crop Me In Stripes Top,Off white vertical stripe printed cotton crop top. Wide v neckline with elasticated gathers on the bust. Horizontal stripes on the center panel and princess cut at the back. Three fourth puff sleeves. Concealed side zipper for fastening and ease.
Rust You Ruffle Me Up Top,Rust polyester crepe top. Round neckline with button with keyhole in the back for fastening and ease. Sleeveless with a ruffled layer on the neckline for style.
Red Dont Dull My Shine Jumpsuit,"Crafted in satin with a polyster knit lining, you won't do away with this classic jumpsuit any time soon. It features a cowl neckline, adjustable shoulder straps, a flared bottom and a concealed zipper at the back. Style with: Gold stilettos, hoops and chain crossbody bag.The model (height 5'6"") is wearing a size XS"
Navy Blue Play With Polka Midi Dress,Navy blue polka printed rayon tiered midi dress. Adjustable shoulder straps with a square neckline. Smocking detail on the back yoke and drawstring at the waist for style and comfort. Fit and flare silhouette. Three gathered tiers from the waist to hemline. Polka dots are a timeless fashion trend they can go from wearing to work to a day out with friends and even for dressing up on dates!. Accessorize with: t-strap flats and a cute crossbody bag will complete this casual chic look!
Teal Frills Of Fun Crop Top,Teal polyester crepe crop top. Wide square neckline with elastic on shoulders. Frill detailing at neckline and sleeve hem. Short puff sleeves with elastic at frill attachment. Smocked detailing on the front and back.
Black You Got The Look Maxi Dress,"Featuring a halter neckline, this black maxi dress from Twenty Dresses is perfect to don for evening parties and events. Style With: A pair of strappy open-toe stilettos, subtle accessories & a hint of dazzle with a clutch to complete the look!"
Pink Linen Cap Sleeve T-Shirt,"Made from light linen jersey knit, this soft top from GAP is a must-have for warm summer days. It is detailed with a scoop neckline, cap sleeves and a curved hem. Wear yours with a cropped jeans for a stylish look."
Olive The Brightest Button Dress,Olive polyester crepe dress. Wrap style v neckline with three fourth sleeves. Button detail on the left thigh. Elasticated waist with an attached tie up belt. Ruching on the sleeve sides with tie up detailing. Fit and flare silhouette.
Multi-Color Printed Shirt,"This Kazo multi-colour polyester printed shirt has a collar neck, long sleeves and a regular fit. Pair this shirt with bell-bottom pants and heels to complete the look."
Multi-Color Textures Of Stripe Top,Multi-color vertical stripe printed cotton peplum top. V neckline with ruching at the center front and tie up at the waist. Horizontal stripe pleats at the waist for style. Puff full sleeves with elastic at the sleeve hem. Concealed side zipper for fastening and ease. Cotton voile lining inside for comfort.
Pink The Boss Bebe Top,Pink polyester satin formal top. High neck collar detail. Puffy sleeves with Broad cuff for style. Keyhole at Back.
Pink Ruffles On The Line Dress,Pink floral printed polyester chiffon maxi dress. Polyester knit lining inside for comfort. Asymmetrical hemline with ruffles on it and an overlapping waistline. V neckline with sheer full sleeves. Concealed zipper on the left side for fastening and ease.
Navy Blue Afghani Asterix Cotton Hand Embroidered Top,A Kaftaan style top for your summer outings?! Here is an organic bold deep blue shade embroidered top with the Andromeda constellation pattern; in the pervasive cotton fabric. It’s a light weight and no-fuss summer top that gives the garment breathing space while amplifying the style and cool quotient for you at casual outings and friendly meetings.
White Solid/Printed Statement Sleeves Hi-Low Top,Solid draped/statement sleeves hi-low top with button detailing. Slit sleeves are very trendy yet comfortable and wearable. Top is of the latest design. Length of the top is regular length and not cropped. Golden buttons at the cuff add to the style quotient. It can work with jeans or high waist pants or palazzos. Wrinkle free fabric makes it travel friendly. Its quick drying fabric helps avoid sweat patches.
Black Cross Over To The Other Side Jumpsuit,Black Polyester Knit Jumpsuit. Halter Criss Cross style neckline. Center Back Zipper & hook at the back for fastening & ease. Straight leg bottoms.
Black & Olive Contrast Detail Shirt,"Crafted in polycotton, this black shirt features a shirt collar neck, 3/4th sleeves, a front buttons placket and a regular fit. Style this shirt with a pair of skinny denims and high heels to complete the look."
Blue Floral Print Jumpsuit,"Channel some retro vibes with this jumpsuit. Featuring a floral print fabric, a ruffle neckline with a self fastening and a wide leg bottom, team it with some open flats for a special occasion worthy look. Please note: This piece is handmade with love and care by various artisans and therefore slight differences of design and colour may occur from piece-to-piece which allows for a signature one-of-a-kind aesthetic."
Black Key Hole Back Floral Maxi Dress,Peplum Black Key Hole Back Floral Maxi Dress
Navy Blue Self Printed Fit & Flare Dress,"An amazing range of women Dress in soft and solid colours that looks perfect for regular wear. With beautiful designs and patterns, these apparels are very stylish and comfortable too. Get rid of the 'regular' look this season wearing this dress"
Green Floral In The Cuteness Crop Top,Green floral printed rayon crop top. Shoulder straps with ruffle detailing extending till the waist. Centre front button placket for show. Gathered waistline for style. A cute & a trendy update to your wardrobe is what you need to up your fashion game. Accessorize with: denim short or high waist pants to take you from a day to dusk look!
Blue Wrap Me In Flowers Dress,Blue floral printed wrap rayon dress. Fit and flare silhouette. Wrap style with tie-up at waist. Puff sleeve detail.
Black Ruched In Style Crop Top With Skirt (Set of 2),"Created in black polyester shimmer knit, this set features a crop top and a bodycon skirt, the top has a v-neckline, three fourth puff sleeves with elasticated hem, a waist yoke and a centre back zipper, the bodycon skirt features ruching at the front for style, a thigh high slit and a concealed side zipper. Style With : a pair of shimmer court heels, a box clutch and statement accessories to have you party ready!"
Black Spread The Sparkle Top,Black floral georgette top with gold foil. Wrap style overlapping mandarin neckline with a tie up at waist. Frill detailing collar neckline. 3/4th length sleeves with drawstring tie-up at frilled cuff attachment. Peplum waist cut.
Black Full Sleeve Solid Casual Jacket,"Wearing this Women's Jacket from the House of Campus sutra and Its keep you warm in the Cool Season. This Jacket is made of Nylon & Cotton, its fabric spells pure comfort and warmth. Fetch a casual and cool look for yourself by teaming it with a pair of jeans and sneakers"
Maroon Contrasting Sleeve Tie Shift Dress,"This maroon dress by FableStreet is crafted in polyester and features a boat neck, half sleeves with a tie-up detail, side pockets and micro slits on the sides. Buy this dress online and pair it with heels and fine accessories to create a sharp work-ready look."
Blue Mini Dress,"This blue dress is crafted in denim and features a shirt collar neck, 3/4th sleeves, a short front buttons placket, a self tie-up belt and a regular fit. Style this dress with a pair of high heels and a chic sling bag to complete the look."
Mustard Key Hole Back Floral Maxi Dress,Peplum Mustard Key Hole Back Floral Maxi Dress
Purple Crew Neck Logo T-Shirt,GAP is known for creating basics that can be worn on a regular basis and as a loungewear staple as well. This logo tee is made from super soft cotton jersey and features crew neck and short sleeves. Wear yours with ripped boyfriend jeans and canvas sneakers.
Orange Crew Neck Brand Print T-Shirt,"Aeropostale's t-shirt is made from a soft fabric in a refreshing color. It's cut for a comfortable regular fit and has a ribbed crew neck, short sleeves and branding at the front. Keep it pared-back by pairing it with seasoned jeans and sneakers."
Blue Beauty In The Blooms Tiered Dress,Blue Floral Polyester Crepe Midi Dress with Polyester Crepe Lining inside. Tiered Dress with Tie-up shoulder straps. Knife Pleats at the front yoke. Side Zipper for fastening & ease.
Brown Geometric Straight Rayon Top,This elegant brown printed top from Jaipur Kurti makes a statement addition to your casual wardrobe. Team this top with a pair of skinny bottoms or a pair of denim shorts and tan flats to attain an uber-chic look.
Red Take Me For A Spin Jumpsuit,"This tube style jumpsuit is created in polyester with lycra content. It features a tube neckline, a circular flap layer, straight legged bottoms and a concealed centre back zipper for fastening. Style With : A pair of acrylic block heels, a crossbody bag and subtle accessories to complete this stunning look!"
Navy Blue Asher Wrap Playsuit,"With its statement square buckle, this wrap playsuit is ideal for off-duty days and casual weekends. Style with strappy sandals and denim jacket when you head out next."
Yasmin Lace Flippy Hem Dress,"This blue lace dress by Forever New is crafted in viscose, fitted and features a keyhole neck, 3/4th bell sleeves and a zip closure at the back. Team this dress with heels and fine jewellery to create a trendy look."
Pink Butterfly Print Jumpsuit,Amp up your outfit of the day with this jumpsuit. Featuring a floral print with cute neckline and sleeves. We love this teamed with open flats and a hair clip for an occasion worthy attire. Please note: This piece is handmade with love and care by various artisans and therefore slight differences of design and colour may occur from piece-to-piece which allows for a signature one-of-a-kind aesthetic.
Off White Stripe Pattern Dress,"Make a stunning style statement with this elegant off white striped midi dress from Vero Moda. A perfect pick to don for casual events and occasions, style this dress with a pair of stiletto heels, a chic handbag and statement accessories to complete the look."
Yellow Solid Fit & Flare Ombre Dress,"An amazing range of women Dress in soft and solid colours that looks perfect for regular wear. With beautiful designs and patterns, these apparels are very stylish and comfortable too. Get rid of the 'regular' look this season wearing this dress"
Multi-Color The Stripe Play Jumpsuit,Blue stripes yarn dyed cotton cropped jumpsuit with cotton voile lining. Square neckline with shoulder straps. Tie up belt attached to the sides. Back zipper for closure.
Red Cowl Into Me Dress,"Crafted in satin with a polyester knit lining, this slip dress is suited for slender frames. It features a cowl neckline, adjustable shoulder straps and a concealed zipper at the back. Style with: Strappy black stilettos and a mini crossbody bag. The model (height 5'6"") is wearing a size XS"
Off White Bring Me To Heaven Polka Dot Dress,Off White polka dot printed polyester crepe dress. Fit and flare silhouette. Smocking at the waist for easy and comfort. Ruffles at neck and bottom hemline for style.
Multi-Colour Printed V-Neck Top,Spruce-up your warm weather line-up with vibrant pieces like this floral print top by GAP. This short flutter sleeves have a split V-neck. Wear yours with hot pants and flats for a relaxed casual ensemble.
Black Crepe Roll Up Jumpsuit,"Button down relaxed fit jumpsuit with roll up sleeves and an elasticated waist. The elasticated waist and comfortable hip silhouette is perfect for the Indian body type. Made from smooth, wrinkle resistant crepe fabric, this jumpsuit is sure to look trendy. It is color bleeding resistant thereby making it long lasting. Sweat absorbent armpit lining is used to keep away underarm stains."
Black Maxi Dress,"This black maxi dress by Mish is crafted in polyester and features a round neck, flared sleeves and a regular fit. Pair this dress with drop earrings and heels to complete the look."
Black Printed Top,Add a fresh and vibrant touch to your casual wardrobe with this Top from Campus Sutra. Team it with a pair of black jeans and flip-flops or shoe for a cool look.
White Ella Top,This classic and all time essential white top from Maison Shefali is crafted in delicate muslin with tonal white print on an ivory base and is a great pick to don for daytime events. Style this top with a pair of skinny denims and high heels to complete the look.
Purple Twisting The Night Away Top,Purple polyester crepe top. Sleeveless top with a v neckline. Back zipper for fastening and ease. Knot detailing at front for style..
Blue All My Love For Florals Dress,Blue floral printed georgette dress. A line flare silhouette. One shoulder sleeves with gathers at sleeve joint. Overlapping bottom with ruffles on the hem. Polyester knit lining inside for comfort. Concealed zipper on the left for fastening and ease.
Maroon Embellished Gown,Biba Maroon Embellished Gown
Blue Stripped Jumpsuit,"This blue and off-white striped jumpsuit by Jompers is crafted in cotton and features a square neck, shoulder straps, slit pockets, self fabricated waist belt and back concealed zip closure. Style this jumpsuit with heels and delicate earrings to complete the look."
Pink Blooms Of Style Midi Dress,Pink floral printed midi dress. Off shoulder v-neckline with gathers at the front bust for style. Short sleeves with smocking detail. Concealed zipper on the left. Gathered tier at the hemline for style. Floral midi dresses are back with a refreshing vibe for the season. Your vacation wardrobe is surely in for a easy-breezy silhouette that is a mix of both comfort & style. Accessorize with: block heels and a crossbody bag will have you brunch ready in no time!
Pink The Floral Blush Gown,Pink multicolor floral printed polyester chiffon maxi dress with polyester knit lining. Fit and flare silhouette. Front overlapping v neckline. Adjustable shoulder strap with criss cross back. Thigh high slit for style. Side zipper for fastening & ease.
Green Bronte Ruched Wrap Dress,"This green floral ruched asymmetrical midi works for both weddings and casual weekends. With its high-low hem, subtle spot print and pretty flutter sleeves, it dresses up with strappy white stilettos or down with sandals."
KAZO Multi-Color Printed Mesh Fitted Top,"This multi-colour floral top from Kazo will be a perfect addition to your western wear collection. Featuring a round neck and 3/4th sleeves, style this top with a pair of jeggings and flats to complete the look. Top only."
Rust Brighten The Formal Play Top,Rust polyester crepe stripe printed top. Wrap style overlapping v-neckline. Full cuffed sleeves. Elastic at bottom hemline.
Off White Dobby Jacquard Dress With Navy Blue Spots,"Featuring floral embroidery details all over, this off-white dress from Aaliya is perfect to flaunt for brunch dates and get-togethers. Style this dress with a pair of tan heels and a chic sling bag to complete the ensemble."
MARTINI Mustard V Neck Layered Sleeve Top,This mustard yellow top features punctured eyelets around its V-neckline with black ribbon running through forming a bow tie up in the front. Style this top with a pair of skinny denims and high heels to complete the look.
Peach Solid Midi Dresses,"This peach midi dress is crafted in viscose and features a round tie-up neck, 3/4th sleeves, embroidery details on the front yoke, an asymmetrical hemline and a regular fit. Style this dress with a pair of strappy heels and a chic handbag to complete the look."
Torqadorn Red Cowl Neck Formal Blouse In Satin,"It is not a secret that you are headed up in the hierarchy, which is why this sleeveless red blouse speaks to you! With a cowl neck and a satiny texture, this zip-on top from Torqadorn will keep you looking chic while you are smashing that glass ceiling."
Striped Dhoti Jumpsuit,"This off white dhoti jumpsuit by Idalia is crafted in cotton, sleeveless and features a boat neck, striped patterns all over, a back zip closure and a regular fit. Team this jumpsuit with heels and fine jewellery to create a trendy look."
Navy Blue Freedom Hand Block Printed Midi Dress,"Feel at ease and dance through the day with a dress called ‘Freedom’. The sleeveless tunic dress is movement friendly to jive, shop and run around, and speaks comfort with style in an accent of Indigo color in a cambric cotton fabric. With two pockets to slide your hands for a care-free day out or when maybe visiting a friend’s house for dinner, this dress is a must-have in your wardrobe"
Navy Blue Round Neck Printed Jumpsuit,This jumpsuit is all you will need to make a serious style statement. Pair it with heels or flats and fine accessories to complete the look.
Pink You Are My Forever Favorite Top,Pink Polyester crepe top. Full cuffed sleeves. Hook eye on the front neckline for fastening and ease. Overlapping V neckline. Elastic at hem for fit and ease.
Maroon Is My Color Gown,Maroon polyester chiffon maxi dress with polyester knit lining. Fit and flare silhouette. Square neckline with tie up shoulder straps. Thigh high slit for style. Back zipper for fastening & ease.
Purple Draped Jumpsuit,"Accentuate your wardrobe with this lilac draped jumpsuit by Tarun Tahiliani. Crafted in foil crinkle tulle, pick this jumpsuit for your next festivity. Style it with statement jewellery and high heels to complete the look."
Sass In Black Dress,Black polyester knit short dress. Halter neckline with thick shoulder straps. Fit and flare silhouette. Back zipper for fastening & ease.
Multi-Color Checked Out In Style Peplum Top,Multi-color rayon peplum top. V neckline with peplum waist cut. Three fourth puff sleeves with elastication for ruched up look. Concealed side zipper for fastening and ease.
KAZO Mauve V Neck Sleeve Turn Up Top,"This purple solid top from Kazo will be a perfect addition to your western wear collection. Featuring a V-neck and 3/4th sleeves, style this top with a pair of jeggings and flats to complete the look. Top only."
Black Swan Mini Dress,Fit & Flare short dress with a front slit
Blue Sleeveless Sleeves Printed Tunic,"Make a stunning style statement with this elegant blue top from GAP. Crafted in cotton, style this top with a pair of girlfriend denims and high heels to complete the ensemble."
Grey Sunrise Sequin Jumpsuit,"This grey jumpsuit by Attic Salt is crafted in polyester and features a V neck, short sleeves and sequin embellishments all over. Buy this jumpsuit online and team it with heels and fine accessories to create a stylish look."
Grey Logo Round Neck T-Shirt,Give a cool upgrade to your top wear collection with this t-shirt from GAP. The easy-going construction and effortless feel makes it a versatile layering piece. Wear yours half tucked with high-rise jeans and sneakers.
Green Floral Midi Dress,"This green floral printed dress by Mish is crafted in polyester and features a V-neck, flare sleeves, self fabricated waist belt and a regular fit. Style this dress with heels and sling bag to complete the look. Buy this dress online."
Pink How Deep Is Your Love Jumpsuit,A pink v-neck sleeveless jumpsuit with flared hemline. It has a back zipper for fastening and ease and comes with a detachable belt.
Navy Blue Geometric A-Line Rayon Jumpsuit,"Master the art of looking perfect with this elegant navy blue pattern printed jumpsuit from Jaipur Kurti. Style this jumpsuit with a pair of block heels, pint-sized earrings and a chic sling bag to complete the look."
Maroon Flare Sleeves Woven Top,"When it comes to tops, their build and details strike a perfect cord of balance. This piece from Aeropostale is made from a fabric that feels soft against the skin. Wear yours over the weekend with everything from jeans to culottes."
Orange Fields Of Shimmer Top,Orange floral georgette top with lurex. High round neckline with frill attachment. Full length sleeves with drawstring tie-up at frilled cuff attachment. Button and keyhole opening at center back neckline for fastening and ease.
Black Slit Sleeve Dress,Add this black dress to your season updated LBD collection as it is perfect to be worn to a party. Work It: Style this dress with chunky heels and complete your look with dainty accessories.
Off White Periwinkle Dress,"Aurora printed periwinkle dress from baise gaba is designed to stay comfortable and absolutely gorgeous. This dress has shoulder tie up and the strings has cluster of shell tassels , on the bodice it has box pleats whereas as the flare part is multitiered, this dress has around 4 metre of flare."
Black Grace The Lace Dress,"Accented with elegant lace details on the bodice, this black dress from Twenty Dresses is a must-have in your casual wardrobe. Style With: A pair of black classic heels, a cute sling and hoop earrings will complete this gorgeous look!"
White Printed V-Neck Top,Add a contemporary edge to your looks with this white printed blouse from GAP. Style this blouse with a pair of black straight-cut trousers and high heels to complete the look.
Round Neck Sleeveless Bottle Green Floral Asymmetrical Dress,"This green floral printed dress is crafted in polyester and features a round neck, a sleeveless design, side slit pockets, an asymmetrical hemline and a regular fit. Style this dress with a pair of high heels and statement accessories to complete the look."
Black My Forever Classic Bodycon Dress,"Created in black polyester knit, this bodycon knee length dress has shoulder straps with a square neckline and an antique gold centre back zipper for fastening. Style With : a pair of pointed toe heels and a cute box clutch will have you ready to take on the evening!"
Blue Sleeveless Sleeves Solid Top,"Make a stunning style statement with this elegant blue top from GAP. Crafted in linen, style this top with a pair of girlfriend denims and high heels to complete the ensemble."
Coral Boo Crop Top,Crop top with pleated straps
Blue Style Me Comfort Denim Playsuit,Blue cotton denim playsuit. Sleeveless with a v neckline. Center front button placket for fastening and ease. Comfort fit with straight leg silhouette.
Blue Floral Dropcrotch Jumpsuit,"This versatile jumpsuit is essential for your holiday wardrobe. Featuring a baby blue floral print material without sleeves and adjustable bottoms, we are obsessed. Team this with tie-up sandals and a bag to complete the look. Please note: This piece is handmade with love and care by various artisans and therefore slight differences of design and colour may occur from piece-to-piece which allows for a signature one-of-a-kind aesthetic."
Red Pleated Top,"Stand out in the crowd in this red top. It has a surplice neckline, full sleeves and pleat detail. Designed from poly moss, it is soft, stretchable, anti-wrinkle and anti-pill.<br>The hem of the top is intended to fall according to the image on a height of 5'3"" to 5'5"". Colour may vary slightly according to screen settings and resolution.<br>"
Beige Striped Top,"This beige top is crafted in cotton and features a square neck, 3/4th sleeves and a regular fit. Style this top with a pair of skinny denims and high heels to complete the look."
Pink Tier Cotton Dress,"This baby pink dress by Bunaai is crafted in cotton and features a strapless neck, short sleeves, a ruched bodice, tiered skirt, floral print details all over and a regular fit. Style this dress with a pair of high heels and statement accessories to complete the look. Buy this dress online. Please note: This piece is handmade with love and care by various artisans and therefore slight differences of design and colour may occur from piece-to-piece which allows for a signature one-of-a-kind aesthetic."
Green Looking Over My Shoulder Gown,A green one shoulder style gown with a fit and flare silhouette. It has a concealed zipper on the side for fastening.
White Bob 3/4th Sleeve Blazer,"A fabulous pick to team with your formal attires, this white blazer from Vero Moda makes for a statement addition to your closet. Style this blazer with a white button-down shirt and a pair of straight cut trousers to complete the look."
Mango Maxi Dress,This maxi dress by Ambraee has an scoop neckline with gold prints all ove rit and a pink border at the hemline. You can pair this with gold earrings. (set of 1) Please note: This piece is handmade with love and care by various artisans and therefore slight differences of design and colour may occur from piece-to-piece which allows for a signature one-of-a-kind aesthetic.
Red Style Over The Shoulder Dress,Red polyester knit dress. One shoulder neckline with short sleeves on one side. Waist cut sheath silhouette. Concealed zipper on the left side for fastening and ease.
Black Ruffle Dress,This dress is a perfect combination of comfort and style. Pair it with heels and fine accessories to complete the look.
Blue Floral Print Crepe Dress,"This blue floral printed dress by Bunaai is crafted in crepe and features a square neck, fixed shoulder straps, short extended sleeves from the neckline, a back zip fastening detail and a regular fit. Style this dress with a pair of high heels and statement accessories to complete the look. Buy this dress online. Please note: This piece is handmade with love and care by various artisans and therefore slight differences of design and colour may occur from piece-to-piece which allows for a signature one-of-a-kind aesthetic."
Blue Hand Block Dhoti Style Jumpsuit,"If You Are Looking For A Unique Pattern In Your Wardrobe And A Highly Stylised Kurta Then Divena Has The Answer For You. Presenting Divenas Unique Dhoti Style Kurta With Rising Side Slits And Tussles On Both Sides And A Closed Neckline And Three Fourth Sleeves, Is Perfect For Any Casual Day Outing Or Evening Party Wear. Pair It Up With Mojri , Metallic Jewellery For That Ravishing Look"
Wine Belted Satin Top,Pick up this stylish wine coloured top for the a stylish night look. It features long sleeves with a tie up detail in the front. Style Tip: Accessorise it with a handbag and stud earrings.
MARTINI Navy Blue Shimmer Lace Mesh Party Gown,"Designed with V-neckline gaped with mesh, side zip and back loop button for easy wear this gown features fitted chest cups for a better fit. Style this gown with a pair of stiletto heels and super-sized earrings to complete the look."
Mustard You Got Cute Florals Top,Mustard floral printed rayon peplum top. V neck with a button panel for show. Sleeveless with smocking at the waist for fit and ease.
Pink Stripped Jumpsuit,"This red and off-white striped jumpsuit by Jompers is crafted in cotton and features a square neck, shoulder straps, slit pockets, self fabricated waist belt and back concealed zip closure. Style this jumpsuit with heels and delicate earrings to complete the look."
Pink Summer Ruffled Cami Top,"This ruffled cami arrives in the perfect neutral hue. We love it for casual days, with denim skirts and linen separates."
White Jenna Floral Dress,Floaty and floral. This white dress is decorated in pretty pink florals with silver metallic thread through-out. Complement this garment with silver-tone accessories and high-heels for your next event.
